vendor_name,claims,amount,report_month,report_year,schedule,source_pdf
SHA Paid Facilities - July,,2025.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
1 A.C.K. MASENO HOSPITAL,,1895040.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
2 A.C.K. MASENO HOSPITAL,,1051680.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
3 A.I.C GITHUMU MISSION HOSPITAL,,305760.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
4 A.I.C GITHUMU MISSION HOSPITAL,,201600.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
5 A.I.C KAPSOWAR MISSION HOSPITAL,,1466080.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
6 A.I.C KAPSOWAR MISSION HOSPITAL,,560560.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
7 A.I.C LOKORI HEALTH CENTRE,,2240.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
8 AAR HOSPITAL LIMITED MUTHAIGA,,4100250.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
9 AAR HOSPITAL LIMITED MUTHAIGA,,1959600.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
10 ABIDHA HEALTH CENTRE,,6720.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
11 ABIDHA HEALTH CENTRE,,4480.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
12 ABM SPECIALIZED HOSPITAL,,181050.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
13 ABM SPECIALIZED HOSPITAL,,138450.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
14 ADVANCED CARE DIAGNOSTIC AND RENAL DIALYSIS LIMITED,,2279096.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
15 ADVANCED CARE DIAGNOSTIC AND RENAL DIALYSIS LIMITED,,10650.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
16 AFRICA MISSION SERVICES COMMUNITY CLINIC,,2240.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
17 AFRICA MUSLIM AGENCY HEALTH CENTRE,,181440.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
18 AFRICA MUSLIM AGENCY HEALTH CENTRE,,10080.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
19 AFRICA MUSLIM AGENCY HEALTH CENTRE THIKA,,23520.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
20 AFRICARE DIALYSIS CENTRES LIMITED- MURANGA,,2108700.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
21 AFRICARE DIALYSIS CENTRES LIMITED- MURANGA,,74550.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
22 AHERO SUB-COUNTY HOSPITAL,,567680.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
23 AHERO SUB-COUNTY HOSPITAL,,16800.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
24 AIC KIJABE HOSPITAL,,39549243.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
25 AIC KIJABE HOSPITAL,,951837.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
26 AIC LITEIN HOSPITAL,,14936630.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
27 AIC LITEIN HOSPITAL,,520670.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
28 AIC LODENGO HEALTH CENTRE,,82880.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
29 AIC LOKICHOGIO HEALTH CENTRE,,4480.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
30 AINAMOI HEALTH CENTRE,,51520.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
31 AIRPORT HEALTH CENTRE-KISUMU,,26880.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
32 ALALE HEALTH CENTRE,,2240.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
33 ALBANI MEDICAL CLINIC,,29120.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
34 ALLIANCE MEDICAL CENTRE,,2353646.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
35 ALLIANCE MEDICAL CENTRE,,117150.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
36 ALLIANCE MEDICAL CENTRE LTD GARISSA,,1714650.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
37 ALLIANCE MEDICAL CENTRE MOMBASA,,3280110.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
38 ALLIANCE MEDICAL CENTRE MOMBASA,,181050.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
39 ALUPE SUB-COUNTY HOSPITAL,,436800.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
40 ALUPE SUB-COUNTY HOSPITAL,,50400.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
41 AMA (AFRICA MUSLIM AGENCY) CLINIC,,30240.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
42 AMBIRA SUB-COUNTY HOSPITAL,,356160.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
43 AMBIRA SUB-COUNTY HOSPITAL,,17920.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
44 AMUKURA SUB-COUNTY HOSPITAL,,39120.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
45 AMUKURA SUB-COUNTY HOSPITAL,,8960.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
46 ANGURAI HEALTH CENTRE,,13440.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
