vendor_name,claims,amount,report_month,report_year,schedule,source_pdf
1 KENYATTA NATIONAL HOSPITAL,,341491903.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
2 MOI TEACHING AND REFERRAL HOSPITAL,,190679328.03,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
3 KENYATTA UNIVERSITY TEACHING REFERRAL AND RESEARCH HOSPITAL,,107856136.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
4 AIC KIJABE HOSPITAL,,95063964.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
5 TENWEK HOSPITAL,,94286398.34,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
6 JARAMOGI OGINGA ODINGA TEACHING AND REFERRAL HOSPITAL,,90541165.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
7 P.C.E.A KIKUYU HOSPITAL,,82208619.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
8 MATHARI NATIONAL TEACHING AND REFERRAL HOSPITAL,,72881680.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
9 RIFT VALLEY PROVINCIAL GENERAL HOSPITAL NAKURU,,67990935.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
10 TOP HILL BRAIN AND SPINE HOSPITAL,,56998551.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
11 KANDIEGE SUB-COUNTY HOSPITAL,,54370000.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
12 LIFECARE HOSPITAL-ELDORET LIMITED,,53224968.93,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
13 COAST GENERAL TEACHING AND REFERRAL HOSPITAL,,50122653.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
14 NAIROBI WEST HOSPITAL,,49823341.73,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
15 TEXAS CANCER CENTRE NAIROBI WEST,,42543813.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
16 ST. THERESA MISSION HOSPITAL KIIRUA,,41531799.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
17 KAKAMEGA COUNTY GENERAL HOSPITAL,,40969624.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
18 GRACE PARK MEDICAL CENTRE,,36503715.6,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
19 POPE BENEDICT XVI HOSPITAL,,36316650.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
20 MEDILIFE HOSPITAL LIMITED,,36088960.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
21 CHIRON MEDICAL DIAGNOSTICS AND IMAGING HOSPITAL LIMITED,,34998870.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
22 NORTH KINANGOP CATHOLIC HOSPITAL,,34672130.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
23 MERU DOCTORS PLAZA LIMITED,,33723409.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
24 LIVING ROOM INTERNATIONAL,,30140650.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
25 JUMUIA HOSPITAL HURUMA,,29122938.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
26 LADNAN HOSPITAL,,28397113.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
27 OUR LADY OF MERCY MISSION HOSPITAL,,28310360.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
28 A.I.C KAPSOWAR MISSION HOSPITAL,,28257900.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
29 MEDISTAR HOSPITAL KERICHO LIMITED,,27545398.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
30 OUTSPAN HOSPITAL,,26746764.75,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
31 EMBU COUNTY REFERRAL HOSPITAL,,26437982.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
32 COPTIC HOSPITAL - NGONG ROAD,,25888997.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
33 THE MATER HOSPITAL,,25101274.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
34 THE AGA KHAN UNIVERSITY HOSPITAL NAIROBI,,24958293.27,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
35 REALE HOSPITAL ELDORET,,24863400.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
36 ST LUKES ORTHOPAEDIC AND TRAUMA HOSPITAL UASIN GISHU,,24807009.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
