vendor_name,claims,amount,report_month,report_year,schedule,source_pdf
3RD PARK HOSPITAL LIMITED,,20160.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
A.C.K NAMASOLI HEALTH CENTRE,,247120.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
A.C.K. MASENO HOSPITAL,,2912000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
A.I.C GITHUMU MISSION HOSPITAL,,3246360.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
A.I.C KAPSOWAR MISSION HOSPITAL,,14840640.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AAR HOSPITAL LIMITED MUTHAIGA,,7650340.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Aasif medical and Health service limited,,2432320.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ABAKAILE DISPENSARY,,20000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ABAKORE NURSING HOME LIMITED,,2864960.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ABALA HEALTHCARE LIMITED,,3456320.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ABM SPECIALIZED HOSPITAL,,1028110.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ABOLOI DISPENSARY,,20000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ABQA ANNEX MEDICAL CENTRE LTD,,618240.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ABRAR HEALTH SERVICES BANISSA,,519680.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ABRAR HEALTH SERVICES LIMITED,,598080.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ABRAR HEALTH SERVICES MANDERA LIMITED,,889120.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ABUBAKAR SIDIQ NURSING HOME,,778320.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ABULO MEDICAL CENTER,,1182720.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ABUU AMIRA NURSING HOME,,1845760.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ABYAN HOSPITAL LIMITED,,2951120.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ACE NORTHERN HOSPITAL LTD,,10000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Acela Medical Centre,,708880.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ACELA MEDICAL CENTRE LIMITED,,1315840.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ACK DR. PIKE ROPER MEDICAL CENTRE,,119440.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ACK KHASOKO HEALTH CENTRE,,30000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ACK MT KENYA HOSPITAL MWEA,,647360.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ACK NAMBOBOTO HEALTH CENTRE,,81200.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ACK PORT FLORENCE COMMUNITY HOSPITAL,,147840.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ACK ST.LUKES MISSION NURSING HOME,,20000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ADC MARKET NURSING HOME LIMITED,,2226560.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ADEMASAJIDA DISPENSARY,,50000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ADIEDO DISPENSARY,,30000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ADU DISPENSARY,,430000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Adungosi Medical Clinic,,88400.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Advanced Cancer Centre,,4925262.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ADVANCED CANCER CENTRE LIMITED,,6286554.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
ADVANCED CARE DIAGNOSTIC AND RENAL DIALYSIS L I M I T E D,,734850.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFARSHANLE DISPENSARY,,80000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFEY HILLOW NURSING HOME LIMITED,,3029040.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFLAH MEDICAL CENTRE,,725760.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFNAAN HEALTHCARE SERVICES,,504000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFRAHA MATERNITY & NURSING HOME,,86000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFRAHA MATERNITY AND NURSING HOME,,135440.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFRICA INUKA HOSPITAL LTD- MILIMANI,,7700360.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFRICA INUKA HOSPITAL LTD- UGUNJA,,194880.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFRICA INUKA HOSPITAL LTD-MADEYA,,4001520.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFRICA INUKA HOSPITAL LTD-MILIMANI,,1279120.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFRICA MISSION SERVICES COMMUNITY CLINIC,,70000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFRICA MUSLIMS AGENCY HEALTH CENTRE THIKA,,2948720.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFRICARE DIALYSIS CENTRES LIMITED- MURANGA,,915900.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFYA BORA CLINIC MUTOMO,,26880.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFYA BORA MEDICAL CLINIC MUTOMO,,94080.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFYA HEALTH SYSTEMS ORGANIZATION,,2477440.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFYA HILL MEDICAL CENTRE,,4428160.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFYA INTERNATIONAL HOSPITAL,,286160.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Afya Link Medical Center,,649600.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFYA MEDICAL CLINIC AND NURSING HOME,,4027520.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFYA NGAMBO MEDICAL CLINIC,,10000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFYA NURSING HOME MOYALE,,684800.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFYALINE SALGAA MEDICAL CENTRE,,1317520.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFYALINK MEDICAL CENTRE,,2307200.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFYAPOINT MEDICARE LIMITED ANNEX,,67200.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AFYAPOINT MEDICARE LIMITED -ANNEX,,33600.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Afyastar Medical Clinic,,10000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AGA KHAN HOSPITAL KISUMU-NYAMIRA MEDICAL CEN T R E,,224000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Agakhan Clinic (Kisii),,112000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AGISO HEALTHCARE,,306880.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AHAVA MEDICAL CENTRE,,1012160.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AHERO MEDICAL CENTER,,907040.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Ahero Medical Centre,,268640.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AHERO SUB-COUNTY HOSPITAL,,6393680.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AHLI HOSPITAL LIMITED,,33440.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Ahmadiya Hospital,,362560.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AHMADIYYA MUSLIM HOSPITAL,,817040.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AIC CURE INTERNATIONAL HOSPITAL,,2723840.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AIC KIJABE HOSPITAL,,75464180.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AIC KIJABE HOSPITAL-NAIVASHA MEDICAL CENTRE,,3068640.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AIC LITEIN HOSPITAL,,11312898.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AIC LODENGO HEALTH CENTRE,,577600.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AIC LOKICHOGIO HEALTH CENTRE,,212880.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AIMO HEALTH CENTRE,,145600.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AINAMOI HEALTH CENTRE,,123440.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Airport Health Centre,,300000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AIRPORT HEALTH CENTRE-KISUMU,,905520.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AKALA HEALTH CENTRE,,300000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AKEDEJOE FAMILY THERAPY AND COTTAGE HOSPITAL L I M I T E 3D,,22560.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Akedejoe Family Therapy and Cottage Medical Centre,,56000.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Akemo Nursing Home,,1202320.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AKEMO VALLEY MATERNITY AND NURSING HOME,,4718960.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AKM HEALTH CENTRE LTD,,1258880.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AKRAM MEDICAL CENTRE,,1762880.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AKRAM MEDICAL CENTRE LTD,,936320.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AL ABRAR NURSING HOME,,363200.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AL AHLI Nursing Home,,2177280.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AL AHLI NURSING HOME LIMITED,,5526080.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AL FARID HOSPITAL LIMITED,,2056320.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Al Farooq Hospital,,589360.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AL FOAUD HOSPITAL LTD,,2215360.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AL MAARAJ MEDICAL CENTRE,,855680.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AL MAIDAH NURSING HOME LIMITED,,2273600.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AL MANAR NURSING HOME LIMITED,,1068480.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
Al Naim Medical Clinic and Lab Services,,739200.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AL NAS NURSING HOME,,638400.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AL NASRI NURSING HOME,,436800.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AL NASRI NURSING HOME LTD,,795200.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AL RAHMAN NURSING HOME LTD,,2343040.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AL SHIFAC NURSING HOME LIMITED,,2092960.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
AL WAHAB MEDICARE,,909440.0,May,2025,1,SHA_PAID_FACILITIES_MAY_2025.pdf
