vendor_name,claims,amount,report_month,report_year,schedule,source_pdf
1 A.I.C GITHUMU MISSION HOSPITAL,,43680.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
2 AAR HOSPITAL LIMITED MUTHAIGA,,466480.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
3 ABRAAR HOSPITAL LIMITED,,11200.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
4 ABUBAKAR SIDIQ NURSING HOME,,44800.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
5 ACELA MEDICAL CENTRE LIMITED,,225120.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
6 ACK DR. PIKE ROPER MEDICAL CENTRE,,16720.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
7 ADADI DISPENSARY,,20000.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
8 AFRICA INUKA HOSPITAL LTD-KISUMU,,51520.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
9 AFYA NURSING HOME MOYALE,,10080.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
10 AFYALINE SALGAA MEDICAL CENTRE,,13440.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
11 AFYATELE CENTRE,,6720.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
12 AGISO HEALTHCARE,,6720.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
13 AHERO MEDICAL CENTRE,,14480.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
14 AHLI HOSPITAL LIMITED,,83760.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
15 AIC KIJABE HOSPITAL,,155690.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
16 AIC LITEIN HOSPITAL,,117600.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
17 AIMA HOSPITAL LIMITED,,4480.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
18 AKEDEJOE FAMILY THERAPY AND COTTAGE HOSPITAL LIMITED,,11200.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
19 AL-BASRAH HOSPITAL LTD,,53760.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
20 ALLUC MEDICAL CENTRE,,73920.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
21 ALPHA HILL MEDICAL CENTER LIMITED,,63440.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
22 AMBIRA SUB-COUNTY HOSPITAL,,60480.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
23 AMOYO HEALTHCARE MEDICAL CLINIC,,613760.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
24 AN NAJAH MEDICAL CARE LIMITED,,4480.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
25 ANKA HOSPITAL - ISIOLO,,10080.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
26 ANKA HOSPITAL LIMITED,,3360.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
27 APIDA MEDICAL CENTRE,,1597120.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
28 ARBAJAHAN HEALTH CENTRE,,11200.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
29 ARISE HOSPITAL,,20160.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
30 ASAD MEDICAL CENTRE,,137760.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
31 ASHBURN COMMUNITY NURSING HOME,,2659920.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
32 ASSISI NURSING HOME,,164560.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
33 ASTER HEALTHCARE LIMITED,,26880.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
34 AVENUE HOSPITAL,,1570780.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
35 AVENUE HOSPITAL THIKA,,910560.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
36 AVENUE HOSPITAL- KISUMU,,1925280.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
37 AWALOW NURSING HOME LIMITED,,26880.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
38 BAHATI HOSPITAL JOSKA BRANCH,,2240.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
39 BAYLEAF HEALTH CENTRE,,143520.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
40 BEACON OF HOPE CLINIC,,6720.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
41 BEEHIVE MEDICAL SERVICES,,4480.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
42 BEGGS NURSING HOME LIMITED-MATUNDA,,801920.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
43 BENMAC HEALTH CLINIC,,174720.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
44 BERIL'S GWP MEDICAL CENTER,,161280.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
45 BETH MEDICAL SERVICES,,78400.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
46 BETHANY HILLCREST HOSPITAL LTD - KIAMUNYI,,103040.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
47 BETHESDA HEALTH CARE SERVICES COMPANY LIMITED,,423360.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
48 BETHESDA NURSING HOME KARAGITA,,49280.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
49 BILABIL MEDICAL CLINIC,,306880.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
50 BISHOP U. J. KIOKO CATHOLIC HOSPITAL,,94080.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
Page 1 of,,13.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
51 BLESSED TO BLESS HEALTHCARE LIMITED,,620480.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
52 BODAKI MEDICARE LIMITED,,6720.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
53 BOMBOLULU DIAGNOSTIC MEDICAL CENTRE,,504000.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
54 BONDO MEDICAL CENTRE,,701120.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
55 BONDO SUB-COUNTY REFERRAL HOSPITAL,,312480.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
56 BOSONGO MEDICAL CENTRE,,2265760.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
57 BRAWN'S CURATIVE CENTRE,,98560.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
58 BREETONS MEDICAL CENTRE LIMITED,,127680.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
59 BROADWAY HOSPITAL LIMITED,,73920.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
60 BROWNS MEMORIAL MEDICAL CENTRE,,452480.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
61 BUGUMBE HEALTH CENTRE,,25680.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
62 BUKAAN DEEQ NURSING HOME LIMITED,,168000.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
63 BUKAYA MEDICAL CENTRE,,21200.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
64 BUKUMBURI MEDICAL CLINIC,,302400.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
65 BUNGOMA CHILDREN'S CLINIC LIMITED,,362880.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
66 BUNYORE MEDICAL CENTRE LIMITED,,1028160.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
67 BURA SPRINGS FAMILY MEDICAL CENTRE LIMITED,,31360.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
68 BURA TANA NURSING HOME ANNEX,,799680.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
69 BURA TANA NURSING HOME LIMITED,,13440.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
70 BURUJ MEDICAL CLINIC LIMITED,,309120.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
71 BUTE NURSING HOME,,262080.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
72 BUTINGO DISPENSARY,,20000.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
73 BWANA NI MWEMA MEDICAL CENTRE,,1036720.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
74 BWARE COMPLEX HEALTHCARE LIMITED,,452480.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
75 CAAWIYE NURSING HOME LIMITED,,6720.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
76 CANNAN HOSPITAL & WELLNESS CENTRE LIMITED,,208320.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
77 CAPITAL MEMORIAL NURSING HOME,,8960.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
78 CARDINAL NURSING HOME LIMITED,,689920.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
79 CARE AND CURE HOSPITAL LTD,,144480.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
80 CARE HOSPITAL LTD,,278320.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
81 CEDAR HOSPITAL,,208320.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
82 CENTRAL MEMORIAL HOSPITAL LTD,,60480.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
83 CHARITY MEDICAL HOSPITAL,,278880.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
84 CHELYMO MEDICAL CENTRE,,100800.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
85 CHEMASE MEDICAL CENTRE,,69440.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
86 CHEPTUR HEALTH SERVICES,,11200.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
87 CHIROMO LANE MEDICAL CENTRE ANNEX,,87360.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
88 CHIROMO MENTAL HEALTH HOSPITAL -NAIROBI LIMITED,,86240.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
89 CHIRON MEDICAL DIAGNOSTICS AND IMAGING HOSPITAL LIMITED,,231280.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
90 CHOMBA GITAU NEEMA MEDICAL CENTRE,,20160.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
91 CHUKA NURSING HOME,,17920.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
92 CIALA HOSPITAL KISUMU LIMITED,,1039360.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
93 CITY GATE DOCTORS PLAZA LTD,,3360.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
94 CITYMED COTTAGE HOSPITAL NYANDARUA,,17920.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
95 CLEVERHEAL COTTAGE HOSPITAL,,24640.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
96 COMFY HEALTHCARE LIMITED,,611520.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
97 COMMUNAL ORIENTED SERVICES,,999040.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
98 CONNECTION HEALTH SERVICES LIMITED,,16800.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
99 CONNECTION HEALTH SERVICES LIMITED - MALABA TOWN,,20160.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
100 CONSOLATA HOSPITAL KYENI,,313600.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
Page 2 of,,13.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
101 CONSOLATA HOSPITAL MATHARI,,125440.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
102 CONSOLATA HOSPITAL NKUBU,,411600.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
103 COUNTY MEDICAL CENTRE EMBU LTD,,110880.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
104 CRESCENT COMMUNITY HOSPITAL LIMITED,,10080.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
105 CROWN SPECIALIST CENTRE,,218400.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
106 DADAAB MEDICAL CENTRE LIMITED,,47040.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
107 DEANESH HOSPITAL LTD,,116480.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
108 DIANI BEACH HOSPITAL,,29660.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
109 DIANI BEACH HOSPITAL LIMITED-SHIKA ADABU,,104160.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
110 DILMANYALEY HEALTH CENTRE,,10000.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
111 DIVINE MERCY ALUOR HEALTH CENTRE,,14480.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
112 DOPHIL NURSING & MATERNITY HOME NOMIYA FAITH BASED,,544320.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
113 DORAN LIFE CARE CENTRE,,127680.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
114 DURO MODERN HOSPITAL LIMITED,,1108800.0,August,2025,2,SHA_PAYMENTS_AUGUST_2025_2.pdf
