vendor_name,claims,amount,report_month,report_year,schedule,source_pdf
MINDIRA HOSPITAL ISIBANIA,,50000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
NAIVASHA QUALITY HEALTHCARE SERVICES LTD,,60000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
NEW JUNCTION HEALTH CENTRE,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
OMBO KACHIENG\\' DISPENSARY,,260000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
A.I.C GITHUMU MISSION HOSPITAL,,290000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AAR HOSPITAL LIMITED MUTHAIGA,,2531700.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ABDIWAQO DISPENSARY,,90000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ABIKASHIRO MEDICAL CENTRE LTD,,80000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ABM SPECIALIZED HOSPITAL,,42600.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ABRAAR HOSPITAL LIMITED,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ABULO MEDICAL CENTER,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ACELA MEDICAL CENTRE LIMITED,,40000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ACK DR. PIKE ROPER MEDICAL CENTRE,,90000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ACK KHASOKO HEALTH CENTRE,,70000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ACK SOYSAMBU DISPENSARY,,60000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ACK ST.LUKES MISSION NURSING HOME,,50000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ACORN COMMUNITY HOSPITAL LIMITED,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ADADIJOLE DISPENSARY,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ADEMASAJIDA DISPENSARY,,50000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ADU DISPENSARY,,670000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ADVANCED CANCER CENTRE LIMITED,,15161792.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ADVANCED CARE DIAGNOSTIC AND RENAL DIALYSIS L I M I T E 1D,,38450.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AFARSHANLE DISPENSARY,,50000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AFRAHA MATERNITY AND NURSING HOME,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AFRICA INLAND CHURCH LALANG AMALO HEALTH CE N T R E,,20000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AFRICA INUKA HOSPITAL LTD- MILIMANI,,820000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AFRICA INUKA HOSPITAL LTD- UGUNJA,,20000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AFRICA INUKA HOSPITAL LTD-MADEYA,,70000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AFRICA MUSLIM AGENCY HEALTH CENTRE,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AFRICARE DIALYSIS CENTRES LIMITED- MURANGA,,223650.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AFYA BORA MEDICAL CLINIC MUTOMO,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AFYA INTERNATIONAL HOSPITAL,,60000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AFYA NGAMBO MEDICAL CLINIC,,20000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AFYA NURSING HOME MOYALE,,70000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AFYALINE SALGAA MEDICAL CENTRE,,70000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AFYATELE CENTRE,,240000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
