vendor_name,claims,amount,report_month,report_year,schedule,source_pdf
"ST CATHERINE'S ICHUNI MISSION HOSPITAL 4 ,",,786479.99,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"TEMBEZI MEDICAL SERVICES 1 ,",,859005.76,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"USHIRIKA DISPENSARY 1 ,",,576842.1,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"TARACHA HEALTH CENTRE 1 ,",,518997.64,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"Hunter Medical Center 1 ,",,1810.76,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Bomet's Health Care 5,,90409.18,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
RIRUTA HEALTH CENTRE 5,,38144.53,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
AMUKURA HEALTH CENTRE 5,,11361.36,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
TARAKWA DISPENSARY 4,,59352.89,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Matasia Nursing Home 3,,79935.06,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Mediwell Healthcare 3,,75510.59,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
AFYA NGAMBO MEDICAL CLINIC 3,,62520.63,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
RHENO MEDICARE CLINIC 3,,56538.58,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
CIAGINI HEALTH CENTRE 2,,35095.46,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Mbusyani Dispensary-Kangundo 1,,92938.78,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Kamwimbi Dispensary 1,,90419.56,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Mukima Dispensary 1,,55216.15,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Eshimukoko Health Centre 1,,23781.43,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Simba Health Centre 1,,19237.06,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Kiangoso Health Centre 1,,18915.53,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Eshibembe Health Centre 9,,1677.69,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Osewre Dispensary 8,,9966.06,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Eshinamwenyuli Health Centre 8,,5637.56,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Tudor Health care (Sindo) 7,,4252.7,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Ruruguti Dispensary 7,,2312.37,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
E.L.C.K. MATONGO HEALTH CENTRE 7,,1807.55,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
ALIFAX NURSING HOME LTD 7,,931.51,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Gakanga Dispensary 6,,4074.63,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
SHIFAA NURSING HOME 6,,1690.37,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Baricho Subcounty Hospital 5,,7279.01,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Kanthuni Dispensary 5,,6796.16,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
KIBUYE DISPENSARY 4,,8693.65,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Ollesos Hills Medical Centre 4,,8037.0,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Githuci Dispesary 4,,6874.21,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
FAIRVIEW MEDICAL CENTRE KAWAGWARE 4,,6177.94,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
RUOTHS HOSPITAL LIMITED 3,,8875.28,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
NZUNGUNI DISPENSARY 3,,7958.38,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Uvete Health centre 3,,7814.94,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Lindi Community Dispensary 3,,6825.79,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
LOKORI SUB-COUNTY HOSPITAL 3,,4965.6,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Ngaru Dispensary 3,,428.8,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Itare Dispensary 2,,9785.52,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Thunguri Dispensary 2,,9747.23,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
AL-BUQARI NURSING HOME LIMITED 2,,8349.81,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
NORTHMARK MEDICAL CENTRE AND NURSING H O M E L I M I T E D 2,,7224.03,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Kiriba Dispensary 2,,7081.76,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
KIMURI DISPENSARY 2,,6496.97,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
FAMZAHRA MATERNITY LIMITED 2,,6189.78,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
DOMAL DISPENSARY 2,,5456.29,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
OPTIMUM CARE HOSPITAL LTD 2,,4358.45,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
KALIMONI MISSION HOSPITAL 2,,3564.22,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Setano Dispensary 2,,1404.64,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
Qarsa Jukala Dispensary 1,,6724.33,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
ALATI NURSING HOME 1,,6590.08,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
BATALU DISPENSARY 1,,6522.35,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
MUSOLI MEDICAL CENTRE LTD 1,,5820.66,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
HEALVIBE MEDICAL CENTRE 1,,3605.89,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
BORDERPOINT MEDICAL CENTER LIMITED 1,,2268.78,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
ALAMAGAN MEDICAL CENTRE LIMITED 1,,1513.9,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"ST.THERESA DISPENSARY GITARE 9 ,",,618.1,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"Esiarambatsi Health Centre 8 ,",,410.01,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"SIONGI DISPENSARY 7 ,",,847.51,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"Kabungut dispensary 7 ,",,97.39,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"YAQIIN NURSING HOME LIMITED 6 ,",,228.22,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"Mida-Majaoni Dispensary 5 ,",,658.7,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"Drugmart Medical Clinic 5 ,",,412.01,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"BAMASTAR MEDICAL CLINIC 5 ,",,11.55,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"ST. MONICA TOWN CLINIC 4 ,",,519.88,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"Magina Health Center 4 ,",,233.34,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"Uhuyi Dispensary 3 ,",,597.12,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"Masho Dispensary 3 ,",,110.64,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"KACHODA DISPENSARY 2 ,",,709.34,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"GODE MEDICAL CENTRE LIMITED 2 ,",,301.37,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"HOBYO MEDICAL CARE CENTRE LIMITED 2 ,",,125.36,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"REALE HOSPITAL CLINIC KAPSABET 1 ,",,996.97,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"MOKOWE MEDICAL CENTRE-FAZA 1 ,",,886.14,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"Urum Dispensary 1 ,",,730.97,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"DAYOW HOSPITAL LIMITED 1 ,",,681.8,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"GACEUNI DISPENSARY 1 ,",,508.11,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
"EUROCITY MEDICAL CENTRE LTD-HOMA BAY 1 ,",,453.74,April,2025,1,SHA_PAID_FACILITIES_APRIL_2025.pdf
